,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GRMZM2G062724,14.0552179,-5.155108636,1.566416324,-3.291020757,0.000998245,0.004398368
GRMZM2G062635,27.36665647,1.651764354,0.667375495,2.475014988,0.013323058,0.043321798
GRMZM2G038485,2167.796674,-1.13460703,0.505376218,-2.245074045,0.02476338,0.073667304
GRMZM2G339563,177.5675091,0.171607906,0.52444162,0.327220228,0.743501323,0.954324624
AC186233.3_FG007,0,NA,NA,NA,NA,NA
GRMZM2G087966,0,NA,NA,NA,NA,NA
GRMZM2G087918,130.7326681,0.444849703,0.421351802,1.055767889,0.291074272,0.5310723
GRMZM5G873209,5.267610104,3.167284483,1.248451866,2.53696964,0.011181665,0.037235416
GRMZM2G117855,111.1261661,-0.10759565,0.667466894,-0.16119998,0.871935897,1
GRMZM2G418037,2.568244011,-1.706420431,1.966306219,-0.86783046,0.385487152,0.645842363
GRMZM2G439049,24.29600577,2.441010176,1.462218912,1.669387638,0.095040582,0.223761292
GRMZM2G086093,618.0805537,0.676629511,0.460014056,1.470888776,0.141321199,0.306637778
GRMZM2G142938,178.8749412,0.319816053,0.49805473,0.64213034,0.520788558,0.783777949
GRMZM2G028521,1164.116415,1.42226819,0.740759314,1.920013915,0.054856142,0.143069999
GRMZM2G150925,4.125784641,-1.938640552,1.58844475,-1.220464578,0.22228881,0.435178173
GRMZM2G150915,364.4521633,-0.682986139,0.571553995,-1.194963459,0.232101307,0.449751092
GRMZM2G150867,1012.820883,-2.486591025,0.406420754,-6.118267827,9.46E-10,1.10E-08
GRMZM2G043799,141.3357793,0.28860555,0.63844184,0.452046736,0.651235314,0.892146776
GRMZM2G329159,100.8267763,0.629541259,0.512376401,1.228669506,0.219195744,0.430615777
GRMZM2G092483,0,NA,NA,NA,NA,NA
GRMZM2G092542,0,NA,NA,NA,NA,NA
GRMZM2G139834,0,NA,NA,NA,NA,NA
GRMZM2G358279,529.3934854,-0.294524941,0.307854258,-0.956702511,0.33871743,0.590879441
GRMZM2G056786,0.276083382,0.145430937,1.958595556,0.074252664,0.940809342,1
GRMZM2G056804,2.54322794,0,2.007019661,0,1,1
AC198979.4_FG009,0,NA,NA,NA,NA,NA
GRMZM2G056870,2566.993857,-0.752682114,0.332699773,-2.26234634,0.023676013,0.070910871
GRMZM2G370985,5.778397841,0.265609293,1.152144904,0.230534625,0.817676361,0.998871771
GRMZM2G112728,8.535415216,-0.974463447,1.377285139,-0.70752484,0.479240382,0.744336102
GRMZM2G413315,1.005965274,-2.201190805,1.966344983,-1.119432665,0.262955602,0.493567866
GRMZM2G413290,52.25790174,0.738341626,0.647356649,1.140548456,0.254057877,0.481147874
GRMZM2G112640,199.134932,-1.618612906,0.357462438,-4.528064306,5.95E-06,4.07E-05
GRMZM2G070087,0.202564301,0.145430937,1.958595556,0.074252664,0.940809342,1
GRMZM2G100707,864.0467051,-0.966692751,0.324753629,-2.976695759,0.00291373,0.011423124
GRMZM2G401342,2.316864485,-3.456655396,2.020191748,-1.711053122,NA,NA
AC209858.4_FG004,2.209715048,1.924258781,1.742638779,1.104221256,0.269497171,0.50246836
GRMZM2G703487,0,NA,NA,NA,NA,NA
AC209858.4_FG003,1.018828714,0.99263334,1.590600804,0.624061888,0.532586942,0.794375003
AC209858.4_FG002,1598.229834,0.259941784,0.365587534,0.711024746,0.477068901,0.742210124
GRMZM2G703490,4828.188073,0.728230163,0.691368608,1.05331679,0.292195826,0.532550233
GRMZM5G863105,0.259526373,0,1.958595556,0,1,1
GRMZM2G086163,511.465102,-1.186421557,0.660173955,-1.797134751,0.07231423,0.179258647
GRMZM2G086072,233.7991883,0.172376436,0.386506124,0.4459863,0.655607142,0.895558737
GRMZM2G122816,86.65938582,-2.484360082,0.769092542,-3.23024857,0.001236826,0.005327142
GRMZM2G122787,83.84485289,-0.631967727,0.734667554,-0.860209116,0.38967378,0.650620283
GRMZM2G315812,1.950764813,0.674547575,1.245330773,0.541661372,0.588051805,0.841837542
GRMZM2G315806,50.59367045,-0.764960524,0.62252724,-1.228798476,0.219147373,0.430541154
GRMZM2G018080,242.4954761,-0.569482408,0.527368542,-1.079856614,0.280206036,0.516853903
AC191040.2_FG002,0.08517455,0.503019926,1.958595556,0.256826849,0.797312442,0.988764819
GRMZM2G445783,370.6965467,-0.05096374,0.449747195,-0.113316416,0.909779703,1
GRMZM2G173826,0.184390029,0,1.958595556,0,1,1
GRMZM2G073373,2.977281053,1.314243714,1.730652186,0.759392167,0.447617998,0.712340696
GRMZM2G140339,1777.350827,-2.418271205,0.305663418,-7.911549323,2.54E-15,5.15E-14
GRMZM2G141624,4.37947445,-2.328761854,1.138276262,-2.045867011,0.040769457,0.112000848
GRMZM2G141636,252.2582144,-0.018308905,0.395405174,-0.046304161,0.963067823,1
GRMZM2G027821,130.0975474,2.668752294,0.643288992,4.148605566,3.35E-05,0.000200143
GRMZM5G813886,66.82361331,0.156989303,0.628085489,0.249948941,0.802626834,0.991562839
