"","SP_1","SP_2","SP_3","EC_1","EC_2","EC_3","Zy12_1","Zy12_2","Zy12_3","Zy24_1","Zy24_2","Zy24_3","AC_1","AC_2","AC_3","BC_1","BC_2","BC_3"
"GRMZM2G128219",1,6,0,0,0,1,132,16,213,16,58,16,3,23,3,0,21,0
"GRMZM2G069678",22,17,3,704,383,253,402,223,212,602,551,492,810,394,355,318,317,396
"GRMZM2G041344",0,0,0,0,0,0,53,31,77,13,54,18,9,0,2,0,2,10
"AC209926.4_FG002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G156803",17,16,95,113,2503,1743,206,212,126,180,230,182,381,237,183,540,411,292
"GRMZM2G456756",0,0,0,4,5,2,0,0,0,3,5,0,1,2,7,2,1,2
"GRMZM2G456757",0,0,0,25,0,0,10,33,7,48,36,8,251,171,303,287,210,178
"GRMZM2G000380",0,0,0,0,0,0,2,0,0,2,0,5,0,1,0,0,0,1
"AC191328.3_FG002",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GRMZM2G394945",0,0,0,0,1,3,0,3,0,2,0,1,4,0,0,0,2,0
"GRMZM2G104262",121,104,124,0,0,28,40,30,0,0,19,2,1,56,1,0,1,28
"GRMZM2G403915",174,326,217,0,125,92,0,20,2,4,16,20,1,2,0,7,5,0
"GRMZM5G876450",0,8,15,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
"AC210616.4_FG003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G830085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC210616.4_FG005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC214635.3_FG002",129,156,134,412,2237,2124,881,2133,597,1130,919,566,2234,1754,1859,1028,1237,1042
"GRMZM2G702564",28,22,33,1,39,36,197,64,45,28,94,68,0,0,0,0,0,0
"AC214635.3_FG005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC214635.3_FG006",15,12,26,10,0,11,487,570,364,448,1199,261,554,3639,4080,136,2176,872
"GRMZM2G002173",320,559,406,33,0,4,67,107,189,74,37,11,32,29,36,40,42,40
"GRMZM2G002149",18,56,38,0,1,2,6,1,0,5,0,0,25,13,23,14,14,13
"GRMZM2G150024",1,0,0,3,3,40,276,207,214,315,476,327,129,697,370,165,401,193
"AC205484.3_FG005",0,1,0,5,0,0,17,15,15,14,8,24,29,15,14,25,29,25
"GRMZM2G338049",1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"GRMZM2G106752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G106741",6,0,5,6,0,3,1,0,1,2,21,17,12,6,3,17,31,16
"GRMZM2G157019",6,0,0,960,2788,2745,974,972,619,2015,2031,2076,9105,4860,5582,6040,3876,4938
"GRMZM2G157016",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC208559.3_FG003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G437827",16,48,40,9,20,14,14,18,5,12,11,7,23,3,8,14,15,16
"GRMZM2G118957",101,131,68,462,3456,2125,433,781,404,567,626,590,1087,1090,934,1289,1029,1097
"GRMZM5G842556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G808652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC206332.3_FG005",3292,4581,3597,1,2,0,7,1,11,0,2,0,7,18,0,0,0,11
"GRMZM2G312806",3,20,1,50,42,65,153,188,125,49,27,100,76,29,18,139,41,34
"GRMZM2G021256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G081712",19,70,49,0,0,0,0,0,0,0,0,7,1,1,6,0,1,3
"GRMZM5G898290",0,0,0,3,0,2,20,19,14,8,12,5,3,8,13,3,16,7
"GRMZM2G055782",5,2,3,0,0,0,0,0,9,11,22,32,0,8,0,2,8,14
"GRMZM2G133563",14,15,4,7,0,12,0,30,2,11,32,36,13,46,101,17,31,26
